canonical_name,branches_access,price,duration,visits,freeze,source_contract_id,decision_basis,review_status,note
Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),Все,10900,12,,60,00000139919,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца в подарок,Все,11990,12,,,00000136422,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца заморозки в подарок СПЕЦПРЕДЛОЖЕНИЕ,Все,9990,12,,36,00000136996,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА 12 месяцев + подарок,Все,15990,15,,,00000145511,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА 12 месяцев + подарок (СПЕЦПРЕДЛОЖЕНИЕ),Все,10990,15,,,00000152451,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА 12 месяцев ДВОЙНОЕ / СЕМЕЙНЫЙ,Все,12500,12,,,00000146843,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,Все,11990,14,,,00000148345,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
"Абонемент МУЛЬТИКАРТА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ(Промышленная,10)",Все,0,12,,,00000141212,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА 12 месяцев+2 лета в подарок,Все,13990,12,,,00000130133,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА 15 месяцев,Все,0,15,,,00000144980,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА 15 месяцев (подарок),Все,13990,15,,90,00000150903,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА 15 месяцев (подарок) спецпредложение,Все,10990,15,,90,00000151756,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА 15 месяцев (рассрочка),Все,10990,15,,,00000150721,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА 15 месяцев спецпредложение (рассрочка),Все,10990,15,,,00000151766,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент МУЛЬТИКАРТА+6 месяцев в подарок,Все,0,18,,,00000135042,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент НЕДЕЛЯ САЙТ,Продажа,100,0,,,00000106253,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент Неделя сайт 2023,Продажа,0,0,,,00000120872,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент Неделя Фитнес,Продажа,2500,0,,,00000152338,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент НЕДЕЛЯ ФИТНЕСА БЕСПЛАТНО,Продажа,0,0,,,00000152310,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
АБОНЕМЕНТ САЙКЛ 12 пос без клубной карты,Продажа,6450,12,12,,00000151241,frozen_20260630_variant_plus_name_visit_limit,visit_limit_confirmed_other_fields_provisional,Visit limit is parsed from the Cycle name; price and duration freeze the prior output pending business approval.
АБОНЕМЕНТ САЙКЛ 12 пос при наличии клубной карты,Продажа,3600,8,12,,00000126632,frozen_20260630_variant_plus_name_visit_limit,visit_limit_confirmed_other_fields_provisional,Visit limit is parsed from the Cycle name; price and duration freeze the prior output pending business approval.
АБОНЕМЕНТ САЙКЛ 8 пос без клубной карты,Продажа,5400,12,8,,00000144782,frozen_20260630_variant_plus_name_visit_limit,visit_limit_confirmed_other_fields_provisional,Visit limit is parsed from the Cycle name; price and duration freeze the prior output pending business approval.
АБОНЕМЕНТ САЙКЛ 8 пос при наличии клубной карты,Продажа,3000,4,8,,00000121948,frozen_20260630_variant_plus_name_visit_limit,visit_limit_confirmed_other_fields_provisional,Visit limit is parsed from the Cycle name; price and duration freeze the prior output pending business approval.
Абонемент УЛЬТРА 1 МЕСЯЦ 12 посещений,Продажа,3500,1,,,00000135272,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 1 МЕСЯЦ 8 посещений,Продажа,3400,0,,,00000135159,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
"Абонемент УЛЬТРА 1 МЕСЯЦ 990,00",Продажа,990,1,,,00000152425,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 1 МЕСЯЦ БЕЗЛИМИТ,Продажа,4100,1,,,00000152412,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 1 МЕСЯЦ БЕСПЛАТНО,Продажа,0,1,,,00000152366,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 12 + 2 лета в подарок,Продажа,11990,12,,,00000123708,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 12 месяцев,Продажа,11990,12,,,00000152345,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 12 месяцев (акция 2 мес. в подарок),Продажа,15990,12,,,00000140590,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
"Абонемент УЛЬТРА 12 месяцев (акция 2 мес. в подарок) Ровио,3",Продажа,13990,0,,,00000140249,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),Продажа,11990,12,,,00000137630,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
"Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок) Ровио,3",Продажа,15990,12,,,00000140604,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 12 месяцев (акция 6 мес. в подарок),Продажа,15990,12,,,00000140741,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
"Абонемент УЛЬТРА 12 месяцев (акция 6 мес. в подарок) Ровио,3",Продажа,17990,12,,,00000134087,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
"Абонемент УЛЬТРА 12 месяцев (Ровио,3)",Продажа,15990,0,,,00000142866,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 12 месяцев + 3 месяца заморозки в подарок,Продажа,0,12,,,00000140230,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 12 месяцев + 3 месяца заморозки в подарок (Ровио),Продажа,13990,12,,90,00000139925,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 12 месяцев ДВОЙНОЕ / СЕМЕЙНЫЙ,Продажа,4035,12,,,00000146842,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,Продажа,12990,12,,,00000140663,manager_case_shuleyko_140663,manager_evidence_confirmed,"Duration, price and period are tied to manager case 140663; fixes the incorrect 15-month template."
Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (вип),Продажа,10990,12,,,00000143319,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
"Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (Промышленная,10)",Продажа,7989,12,,,00000129301,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ+подарок,Продажа,0,15,,90,00000152341,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 12+2 месяца в подарок,Продажа,11990,0,,,00000137699,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 12+6 месяцев,Продажа,14991,18,,,00000121584,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 15 месяцев,Продажа,0,15,,,00000144560,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент Ультра 15 месяцев (подарок),Продажа,12990,15,,90,00000151124,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 15 месяцев (рассрочка),Продажа,12990,15,,,00000150606,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 15 месяцев + 3 месяца заморозки в подарок(Ровио),Продажа,14990,15,,71,00000135266,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 24 месяца,Продажа,23000,24,,,00000146778,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 3 месяца,Продажа,8000,3,,,00000152211,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 6 месяцев СПЕЦПРЕДЛОЖЕНИЕ,Продажа,7000,6,,27,00000149212,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 6+6 месяцев,Продажа,13991,12,,,00000132114,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 9 месяцев,Продажа,14990,9,,,00000141028,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 9 месяцев (3 месяца заморозки в подарок),Продажа,13990,9,,30,00000141540,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 9 месяцев СПЕЦПРЕДЛОЖЕНИЕ,Продажа,9900,9,,,00000104498,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Абонемент УЛЬТРА 9 месяцев+3 месяца в подарок (Ровио),Продажа,12990,12,,,00000141615,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
МУЛЬТИКАРТА 6 месяцев + 3 месяца в подарок,Все,0,9,,,00000131235,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
МУЛЬТИКАРТА 9 месяцев (подарок),Все,10990,12,,,00000151758,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Мультикарта на 1 месяц,Все,0,31,,,00000110618,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Мультикарта на 6 месяцев,Все,0,6,,,00000152219,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Мультикарта на 9 месяцев,Все,14990,9,,,00000142200,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Мультикарта на 9 месяцев + 3 месяца заморозки в подарок,Все,13990,9,,,00000141330,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Пробное посещение АКВА,Продажа,500,0,,,00000131689,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Разовое посещение АКВА,Продажа,450,0,,,00000133559,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
"Студенческий абонемент 4 месяца 6 900,00",Продажа,6900,4,,,00000137700,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Студенческий дневной абонемент 9 месяцев,Продажа,8900,9,,,00000139846,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
Студенческий дневной абонемент 9 месяцев (посещение клуба до 17:00),Продажа,8900,9,,,00000148242,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
СУБАРЕНДА 10 посещений,Продажа,13000,1,10,,00000116732,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
СУБАРЕНДА 12 посещений,Продажа,20000,1,12,,00000152122,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
СУБАРЕНДА 15 посещений,Продажа,20000,1,15,,00000152449,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
СУБАРЕНДА 8 посещений,Продажа,15000,1,8,,00000152383,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
СУБАРЕНДА безлимит,Продажа,28000,1,,,00000152236,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
УЛЬТРА 12 месяцев + 2 месяца заморозки в подарок (Ровио),Продажа,14990,12,,,00000140586,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
УЛЬТРА 12 месяцев + подарок,Продажа,11990,15,,,00000152417,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
УЛЬТРА 9 месяцев (подарок),Продажа,10990,12,,,00000152322,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
"Холодные 9 900,00 МУЛЬТИКАРТА 12 месяцев",Все,9900,12,,,00000123869,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
"Холодные 9 900,00 УЛЬТРА 12 месяцев",Продажа,9900,12,,,00000127981,frozen_20260630_current_template_variant,provisional_needs_business_review,Freezes the prior delivered variant so later backups cannot change it silently; business attributes still require approval.
